Station,X,Y,Z,Dimension,Value,Unit
1,2.481775,41.385642,0.002102,XYZ,NA,meter
2,2.557698,41.3811,0.002105,Radius,135.95,foot
3,2.633612,41.376418,0.003756,Height,66.4,foot
4,2.709517,41.371596,0.00784,,NA,
5,2.785414,41.366634,0.009952,,NA,
6,2.861301,41.361533,0.005354,,NA,
7,2.937179,41.356293,0.006771,,NA,
8,3.013047,41.350913,0.002832,,NA,
9,3.088905,41.345393,0.00263,,NA,
10,3.164753,41.339735,0.005609,,NA,
11,3.24059,41.333936,0.012711,,NA,
12,3.316417,41.327998,0.008791,,NA,
13,3.392232,41.321921,0.006353,,NA,
14,3.468036,41.315704,0.001748,,NA,
15,3.543829,41.309348,0.002579,,NA,
16,3.61961,41.302853,0.004482,,NA,
17,3.695378,41.296218,0.005181,,NA,
18,3.771135,41.289444,0.005029,,NA,
19,3.846878,41.282531,0.005296,,NA,
20,3.922609,41.275478,0.006218,,NA,
21,3.998327,41.268286,0.006313,,NA,
22,4.074031,41.260955,0.002867,,NA,
23,4.149722,41.253485,0.002902,,NA,
24,4.225399,41.245875,0.003231,,NA,
25,4.301062,41.238127,0.005309,,NA,
26,4.376711,41.230239,0.003691,,NA,
27,4.452345,41.222212,0.004962,,NA,
28,4.527963,41.214047,0.005214,,NA,
29,4.603567,41.205742,0.005536,,NA,
30,4.679156,41.197298,0.005001,,NA,
31,4.754728,41.188715,0.003677,,NA,
32,4.830285,41.179993,0.005228,,NA,
33,4.905826,41.171132,0.004788,,NA,
34,4.98135,41.162133,0.005201,,NA,
35,5.056858,41.152994,0.006621,,NA,
36,5.132349,41.143717,0.006143,,NA,
37,5.207822,41.134301,0.004067,,NA,
38,5.283278,41.124746,0.005203,,NA,
39,5.358716,41.115052,0.004912,,NA,
40,5.434137,41.10522,0.007203,,NA,
41,5.509539,41.095249,0.005533,,NA,
42,5.584923,41.085139,0.005796,,NA,
43,5.660288,41.074891,0.008156,,NA,
44,5.735634,41.064505,0.006993,,NA,
45,5.810961,41.053979,0.008041,,NA,
46,5.886268,41.043315,0.00705,,NA,
47,5.961555,41.032513,0.005956,,NA,
48,6.036823,41.021573,0.00481,,NA,
49,6.11207,41.010494,0.004529,,NA,
50,6.187297,40.999276,0.005006,,NA,
51,6.262503,40.98792,0.006535,,NA,
52,6.337688,40.976426,0.005427,,NA,
53,6.412852,40.964794,0.002922,,NA,
54,6.487995,40.953024,0.004117,,NA,
55,6.563115,40.941115,0.003739,,NA,
56,6.638214,40.929069,0.002585,,NA,
57,6.71329,40.916884,0.003552,,NA,
58,6.788344,40.904561,0.007594,,NA,
59,6.863374,40.8921,0.007242,,NA,
60,6.938382,40.879502,0.006147,,NA,
61,7.013367,40.866765,0.006013,,NA,
62,7.088328,40.853891,0.005782,,NA,
63,7.163265,40.840878,0.003364,,NA,
64,7.238178,40.827728,0.003957,,NA,
